위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급,위험도(100점)
36.78914616,127.132508,LED,66,10,0,0,674.0627113365084,3,118.96872319979232,5,47.59
36.79131105,127.1633281,LED,66,5,1,0,391.6519673869411,1,194.55499683427152,5,47.59
36.79963598,127.1593456,LED,53,4,3,0,602.9608678459822,0,335.95703024294943,5,47.59
36.79112788,127.1204756,나트륨,128,7,8,0,512.2535122521111,1,243.3831767764558,2,47.59
36.83900255,127.1102142,나트륨,67,1,0,0,748.19109489227,0,726.9212435468362,2,47.59
36.84339915,127.1061339,메탈,71,5,0,0,1350.469127506497,2,133.3565201795697,5,47.6
36.79947152,127.1070425,CDM,181,5,8,4,134.24607660233718,0,404.0272408300179,4,47.6
36.7985288,127.146141,LED,76,1,1,1,45.8941436994709,0,726.6671205466486,5,47.6
36.83495127,127.1518322,CDM,116,4,5,0,517.4245804855767,1,130.04698474408076,4,47.6
36.83895103,127.1098975,나트륨,67,1,0,0,765.6703218077486,0,717.7129274958045,2,47.6
36.82207952,127.1582993,LED,104,6,3,0,365.40351277267024,2,86.95907524900235,5,47.6
36.791141,127.128097,LED,91,8,8,0,426.7862408921421,1,205.7840044627797,5,47.6
36.79059384,127.1270962,LED,96,8,8,0,427.5808689884427,1,99.95625857535876,5,47.6
36.81908058,127.1109926,LED,103,0,2,1,88.36044117632174,0,486.7148253274567,5,47.6
36.79827869,127.1461826,LED,75,1,1,1,69.66149407537934,0,737.9150006801535,5,47.6
36.84345109,127.1059995,메탈,71,5,0,0,1362.8510907086943,2,126.86799205074396,5,47.61
36.83035722,127.1117768,나트륨,76,1,1,0,621.9643244242923,0,735.412705516139,2,47.61
36.83830148,127.128612,CDM,124,3,6,0,638.5265391487545,1,256.19244863284695,4,47.61
36.7885788,127.1289327,LED,103,12,7,0,377.7419696712569,3,178.51219742293114,5,47.61
36.79858715,127.1463148,LED,75,1,1,1,55.192029625998096,0,739.9999999368268,5,47.61
36.79947113,127.1074795,LED,180,4,8,4,173.05664572755362,0,371.85598933057486,5,47.61
36.7880775,127.1595145,CDM,79,4,1,0,483.0912891746147,1,287.3595496140396,4,47.61
36.8317969,127.1539643,LED,72,4,6,0,678.0827101403257,0,378.1307153766678,5,47.61
36.80125937,127.1422579,LED,69,5,0,2,172.83920139874664,0,374.1817998219478,5,47.62
36.83520649,127.1513115,나트륨,116,5,3,0,488.54193607751023,1,79.30355082286064,2,47.62
